run_id,provider,level,file_type,file_size,repetition,is_warmup,input_bytes,output_bytes,compression_ratio,wall_time_s,energy_joules,energy_per_mb,rapl_overflow
124,gzip,default,pdf,large,2,True,640849579,521279551,0.8134,22.43585,184.3019,0.3016,False
125,7zip,fast,text,small,2,True,10485805,1927433,0.1838,0.653146,1.9132,0.1913,False
126,zstd,fast,text,medium,2,True,104857627,22100237,0.2108,0.824257,3.6115,0.0361,False
127,zstd,default,csv,medium,2,True,104857653,22477640,0.2144,1.032997,5.4963,0.055,False
128,gzip,default,text,large,2,True,524288030,96769579,0.1846,17.857046,144.8028,0.2896,False
129,gzip,fast,csv,small,2,True,10485765,2678881,0.2555,0.6291,1.2742,0.1274,False
130,gzip,fast,text,small,2,True,10485805,2648092,0.2525,0.675892,1.3301,0.133,False
131,zstd,fast,csv,large,2,True,524288001,101930759,0.1944,2.022907,14.7034,0.0294,False
132,zstd,default,pdf,small,2,True,12769358,10250835,0.8028,0.62356,1.278,0.1049,False
133,7zip,fast,text,medium,2,True,104857627,19275745,0.1838,1.257471,14.1933,0.1419,False
134,gzip,fast,pdf,medium,2,True,128005509,104689165,0.8178,4.249892,31.4415,0.2576,False
135,7zip,fast,pdf,small,2,True,12769358,10075469,0.789,0.853534,4.8849,0.4011,False
136,gzip,fast,text,large,2,True,524288030,132357494,0.2525,6.46204,49.2263,0.0985,False
137,zstd,fast,text,small,2,True,10485805,2211221,0.2109,0.634761,1.0153,0.1015,False
138,zstd,default,text,small,2,True,10485805,2193734,0.2092,0.662204,0.9806,0.0981,False
139,zstd,fast,image,small,2,True,10487014,9750364,0.9298,0.624644,0.8862,0.0886,False
140,zstd,default,csv,small,2,True,10485765,2299741,0.2193,0.612559,1.1255,0.1125,False
141,7zip,default,csv,small,2,True,10485765,1693182,0.1615,3.431438,26.4482,2.6448,False
142,gzip,fast,pdf,large,2,True,640849579,523533287,0.8169,18.85414,154.6356,0.253,False
143,7zip,fast,pdf,large,2,True,640849579,499474728,0.7794,11.469724,205.2655,0.3359,False
144,7zip,default,csv,large,2,True,524288001,81280338,0.155,31.692104,505.5231,1.011,False
145,7zip,fast,text,small,3,True,10485805,1927433,0.1838,0.666717,1.9482,0.1948,False
146,zstd,default,pdf,small,3,True,12769358,10250835,0.8028,0.641835,1.2767,0.1048,False
147,zstd,default,text,large,3,True,524288030,109554649,0.209,3.033787,23.132,0.0463,False
148,7zip,default,image,medium,3,True,104855286,55792680,0.5321,9.847249,102.8986,1.029,False
149,zstd,default,csv,small,3,True,10485765,2299741,0.2193,0.603948,1.0793,0.1079,False
150,7zip,fast,image,small,3,True,10487014,7221096,0.6886,0.868175,4.5588,0.4558,False
151,zstd,fast,text,small,3,True,10485805,2211221,0.2109,0.670132,0.9114,0.0911,False
152,zstd,fast,image,medium,3,True,104855286,97381960,0.9287,0.848326,3.4768,0.0348,False
153,7zip,fast,csv,small,3,True,10485765,2183261,0.2082,0.632941,1.8225,0.1822,False
154,gzip,fast,pdf,medium,3,True,128005509,104689165,0.8178,4.240381,31.3795,0.257,False
155,zstd,default,image,large,3,True,524305254,455072678,0.868,6.048383,50.4487,0.1009,False
156,gzip,fast,text,large,3,True,524288030,132357494,0.2525,6.417535,49.3336,0.0987,False
157,zstd,fast,image,small,3,True,10487014,9750364,0.9298,0.641666,0.8771,0.0877,False
158,7zip,fast,pdf,small,3,True,12769358,10075469,0.789,0.823761,4.75,0.3901,False
159,7zip,default,text,small,3,True,10485805,1428321,0.1362,3.681892,27.7235,2.7723,False
160,zstd,default,text,medium,3,True,104857627,21909457,0.2089,1.027983,5.0178,0.0502,False
161,zstd,fast,pdf,medium,3,True,128005509,105000485,0.8203,1.017402,4.8356,0.0396,False
162,7zip,default,pdf,medium,3,True,128005509,90608210,0.7078,10.471295,116.575,0.9549,False
163,gzip,default,csv,large,3,True,524288001,115321798,0.22,18.44484,149.2553,0.2985,True
164,7zip,default,pdf,small,3,True,12769358,9364459,0.7334,1.875578,13.437,1.1034,False
165,zstd,fast,pdf,large,3,True,640849579,525249837,0.8196,2.839527,22.4146,0.0367,False
166,gzip,default,pdf,small,3,True,12769358,10474941,0.8203,1.038325,4.527,0.3717,False
167,7zip,default,text,medium,3,True,104857627,14248280,0.1359,24.258515,230.6846,2.3068,False
168,gzip,default,text,small,3,True,10485805,1936758,0.1847,0.854132,3.1438,0.3144,False
169,7zip,fast,csv,large,3,True,524288001,106283588,0.2027,3.832879,63.9554,0.1279,False
170,zstd,fast,text,medium,3,True,104857627,22100237,0.2108,0.854002,3.5384,0.0354,False
171,zstd,default,pdf,medium,3,True,128005509,102008755,0.7969,1.423576,9.2843,0.0761,False
172,gzip,default,image,small,3,True,10487014,9233395,0.8805,1.038918,4.6105,0.461,False
